,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,position,value
0,1,Leno,Arsenal,1,0.9,45,270,62796,0.9,4,7.9,Leno,Goalkeeper,0.9
3,4,Aubameyang,Arsenal,4,1.5,96,1036,742384,4.6,44,92.9,Aubameyang,Forward,4.6
4,5,Soares,Arsenal,2,0.1,42,214,13083,0.5,2,7.3,Cédric,Defender,0.5
5,6,Lacazette,Arsenal,4,4.2,84,858,804695,5.5,46,73.9,Lacazette,Forward,5.5
6,7,Xhaka,Arsenal,3,0.3,48,825,25583,3.8,18,34.4,Xhaka,Midfielder,3.8
7,8,Marí,Arsenal,2,0.1,42,180,5700,0.2,1,7.9,Marí,Defender,0.2
9,10,Chambers,Arsenal,2,0.2,42,170,10183,0.2,1,7.5,Chambers,Defender,0.2
10,11,Kolasinac,Arsenal,2,0.1,42,91,3723,0.0,0,0.4,Kolasinac,Defender,0.0
11,12,El Sayed Elneny,Arsenal,3,0.3,44,171,34826,2.5,11,10.1,Elneny,Midfielder,2.5
12,13,Maitland-Niles,Arsenal,3,0.1,52,263,4745,2.3,12,9.3,Maitland-Niles,Midfielder,2.3
13,14,Holding,Arsenal,2,0.5,41,318,53612,1.7,7,12.2,Holding,Defender,1.7
14,15,Partey,Arsenal,3,0.2,50,1323,63024,8.2,41,58.3,Partey,Midfielder,8.2
15,16,Tierney,Arsenal,2,10.3,50,1196,1225698,14.8,74,61.9,Tierney,Defender,14.8
16,17,Pépé,Arsenal,3,0.8,69,501,123483,3.6,25,52.5,Pépé,Midfielder,3.6
18,20,Nketiah,Arsenal,4,0.2,54,38,40864,0.6,3,6.2,Nketiah,Forward,0.6
19,21,Smith Rowe,Arsenal,3,18.4,59,1201,3487978,14.9,88,107.7,Smith Rowe,Midfielder,14.9
20,22,Saka,Arsenal,3,14.2,64,1480,2034106,14.5,93,148.6,Saka,Midfielder,14.5
21,23,Magalhães,Arsenal,2,5.6,53,1476,814989,14.7,78,59.1,Gabriel,Defender,14.7
24,26,Martinelli Silva,Arsenal,3,6.5,54,777,970363,10.6,57,76.3,Martinelli,Midfielder,10.6
26,67,White,Arsenal,2,12.4,45,1620,1011201,15.1,68,48.1,White,Defender,15.1
27,466,Varela Tavares,Arsenal,2,0.5,43,619,102778,7.2,31,32.7,Tavares,Defender,7.2
28,478,Sambi Lokonga,Arsenal,3,0.1,48,816,20952,4.8,23,38.8,Sambi Lokonga,Midfielder,4.8
29,530,Balogun,Arsenal,4,0.3,47,69,62383,0.4,2,1.9,Balogun,Forward,0.4
30,531,Nelson,Arsenal,3,0.0,50,19,468,0.2,1,3.6,Nelson,Midfielder,0.2
32,558,Ødegaard,Arsenal,3,4.4,56,1215,898897,12.9,72,104.3,Ødegaard,Midfielder,12.9
33,559,Ramsdale,Arsenal,1,18.5,51,1530,2141268,16.5,84,40.1,Ramsdale,Goalkeeper,16.5
35,590,Tomiyasu,Arsenal,2,3.8,47,1384,758841,14.7,69,55.7,Tomiyasu,Defender,14.7
37,28,Steer,Aston Villa,1,2.6,39,90,307949,0.3,1,0.8,Steer,Goalkeeper,0.3
39,30,Martínez,Aston Villa,1,12.6,55,1710,548378,12.7,70,47.8,Martínez,Goalkeeper,12.7
41,32,Traoré,Aston Villa,3,0.3,57,149,13401,1.8,10,8.3,Traoré,Midfielder,1.8
42,34,Sanson,Aston Villa,3,0.0,50,222,1848,1.6,8,6.2,Sanson,Midfielder,1.6
43,35,McGinn,Aston Villa,3,1.3,58,1476,294358,10.5,61,88.4,McGinn,Midfielder,10.5
44,36,Hause,Aston Villa,2,0.2,44,396,38963,4.3,19,17.3,Hause,Defender,4.3
45,37,Ibrahim Hassan,Aston Villa,3,0.0,54,10,3578,0.2,1,1.4,Trézéguet,Midfielder,0.2
46,38,Mings,Aston Villa,2,5.9,50,1568,764080,12.2,61,60.0,Mings,Defender,12.2
47,39,Targett,Aston Villa,2,2.3,47,1431,167752,10.2,48,70.4,Targett,Defender,10.2
48,40,Watkins,Aston Villa,4,13.3,77,1451,2420518,8.4,65,122.7,Watkins,Forward,8.4
49,41,Nakamba,Aston Villa,3,0.2,44,754,24344,3.6,16,15.9,Nakamba,Midfielder,3.6
50,43,Buendía Stati,Aston Villa,3,1.0,62,1141,110118,8.2,51,88.2,Buendía,Midfielder,8.2
51,44,Cash,Aston Villa,2,4.5,51,1783,693727,11.6,59,83.1,Cash,Defender,11.6
52,45,Konsa Ngoyo,Aston Villa,2,1.6,49,1622,200380,11.2,55,56.2,Konsa,Defender,11.2
54,47,Moraes,Aston Villa,4,0.1,54,1,9629,0.2,1,0.0,Wesley,Forward,0.2
56,49,Davis,Aston Villa,4,2.1,45,11,347758,0.2,1,0.1,Davis,Forward,0.2
57,50,Soares de Paulo,Aston Villa,3,2.0,45,1323,495631,9.6,43,61.4,Douglas Luiz,Midfielder,9.6
58,51,Ramsey,Aston Villa,3,2.0,46,1155,288973,12.0,55,65.5,Ramsey,Midfielder,12.0
59,52,Young,Aston Villa,2,0.5,47,728,58424,6.4,30,30.0,Young,Defender,6.4
60,168,Digne,Aston Villa,2,5.0,50,1260,436539,5.4,27,68.7,Digne,Defender,5.4
61,337,Ings,Aston Villa,4,7.8,77,1107,1282245,7.1,55,67.6,Ings,Forward,7.1
62,492,Bailey,Aston Villa,3,0.4,63,420,78796,4.3,27,37.2,Bailey,Midfielder,4.3
64,497,Philogene-Bidace,Aston Villa,3,0.0,50,4,1090,0.2,1,0.0,Philogene-Bidace,Midfielder,0.2
65,526,Chukwuemeka,Aston Villa,3,0.0,45,134,5971,2.2,10,9.7,Chukwuemeka,Midfielder,2.2
66,568,Archer,Aston Villa,4,1.3,45,24,265141,0.7,3,1.6,Archer,Forward,0.7
72,681,Coutinho Correia,Aston Villa,3,4.0,70,22,359143,0.9,6,8.4,Coutinho,Midfielder,0.9
74,76,Jansson,Brentford,2,7.3,46,1881,1290334,14.1,65,65.2,Jansson,Defender,14.1
75,77,Nørgaard,Brentford,3,0.6,50,1766,184541,9.6,48,86.3,Nørgaard,Midfielder,9.6
76,78,Toney,Brentford,4,11.7,66,1710,2309279,9.4,62,119.8,Toney,Forward,9.4
78,80,Raya Martin,Brentford,1,3.2,43,810,919902,7.9,34,19.1,Raya,Goalkeeper,7.9
79,81,Canós,Brentford,3,1.3,55,1500,408411,10.7,59,79.8,Canós,Midfielder,10.7
81,83,Henry,Brentford,2,1.0,45,1422,242995,12.2,55,49.4,Henry,Defender,12.2
82,84,Janelt,Brentford,3,0.1,50,1194,35406,9.4,47,65.2,Janelt,Midfielder,9.4
83,85,Ghoddos,Brentford,3,0.0,53,341,2899,4.0,21,28.6,Ghoddos,Midfielder,4.0
84,86,Jensen,Brentford,3,0.1,49,751,12803,5.7,28,49.1,Jensen,Midfielder,5.7
85,87,Goode,Brentford,2,1.5,39,448,231112,2.6,10,16.0,Goode,Defender,2.6
86,88,Forss,Brentford,4,0.1,53,192,25134,1.9,10,8.5,Forss,Forward,1.9
87,89,Roerslev Rasmussen,Brentford,2,0.1,43,689,11448,5.8,25,27.2,Roerslev,Defender,5.8
88,90,Bech Sørensen,Brentford,2,0.0,43,289,1937,1.2,5,6.5,Sørensen,Defender,1.2
89,91,Pinnock,Brentford,2,3.7,45,1684,811933,13.1,59,77.3,Pinnock,Defender,13.1
94,96,Mbeumo,Brentford,3,1.3,53,1481,625632,11.3,60,87.3,Mbeumo,Midfielder,11.3
95,97,Bidstrup,Brentford,3,0.1,44,36,7485,0.9,4,0.8,Bidstrup,Midfielder,0.9
