,id,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,ict_index,web_name,form,position,value
0,1,Leno,Arsenal,1,0.8,45,270,63552,0.9,4,7.9,Leno,0.0,Goalkeeper,0.9
3,4,Aubameyang,Arsenal,4,1.4,96,1036,742898,4.6,44,92.9,Aubameyang,0.0,Forward,4.6
4,5,Soares,Arsenal,2,0.1,42,304,13580,1.9,8,10.0,Cédric,3.0,Defender,1.9
5,6,Lacazette,Arsenal,4,3.9,83,1028,888745,6.4,53,95.5,Lacazette,3.5,Forward,6.4
6,7,Xhaka,Arsenal,3,0.3,48,915,26159,4.2,20,36.3,Xhaka,1.0,Midfielder,4.2
7,8,Marí,Arsenal,2,0.1,42,180,5760,0.2,1,7.9,Marí,0.0,Defender,0.2
9,11,Kolasinac,Arsenal,2,0.1,42,91,3727,0.0,0,0.4,Kolasinac,0.0,Defender,0.0
10,12,El Sayed Elneny,Arsenal,3,0.3,44,171,35039,2.5,11,10.1,Elneny,0.0,Midfielder,2.5
11,13,Maitland-Niles,Arsenal,3,0.0,52,263,4745,2.3,12,9.3,Maitland-Niles,0.0,Midfielder,2.3
12,14,Holding,Arsenal,2,0.6,41,427,63248,3.4,14,16.2,Holding,3.5,Defender,3.4
13,15,Partey,Arsenal,3,0.2,50,1413,63775,8.6,43,63.6,Partey,1.0,Midfielder,8.6
14,16,Tierney,Arsenal,2,12.0,51,1376,1476728,17.3,88,69.0,Tierney,7.0,Defender,17.3
15,17,Pépé,Arsenal,3,0.7,69,501,124283,3.6,25,52.5,Pépé,0.0,Midfielder,3.6
17,20,Nketiah,Arsenal,4,0.2,54,60,44512,0.9,5,6.9,Nketiah,1.0,Forward,0.9
18,21,Smith Rowe,Arsenal,3,14.7,58,1299,3539702,15.9,92,116.0,Smith Rowe,2.0,Midfielder,15.9
19,22,Saka,Arsenal,3,14.0,64,1640,2261701,15.5,99,161.3,Saka,3.0,Midfielder,15.5
20,23,Magalhães,Arsenal,2,5.6,53,1656,872762,18.5,98,76.5,Gabriel,10.0,Defender,18.5
23,26,Martinelli Silva,Arsenal,3,5.1,54,935,1065101,11.1,60,84.7,Martinelli,1.5,Midfielder,11.1
25,67,White,Arsenal,2,12.7,45,1800,1121726,18.4,83,58.3,White,7.5,Defender,18.4
26,466,Varela Tavares,Arsenal,2,0.4,43,619,103745,7.2,31,32.7,Tavares,0.0,Defender,7.2
27,478,Sambi Lokonga,Arsenal,3,0.1,48,906,21246,5.4,26,42.4,Sambi Lokonga,1.5,Midfielder,5.4
28,530,Balogun,Arsenal,4,0.3,47,69,62383,0.4,2,1.9,Balogun,0.0,Forward,0.4
29,531,Nelson,Arsenal,3,0.0,50,19,468,0.2,1,3.6,Nelson,0.0,Midfielder,0.2
31,558,Ødegaard,Arsenal,3,3.9,56,1372,944447,13.9,78,118.6,Ødegaard,3.0,Midfielder,13.9
32,559,Ramsdale,Arsenal,1,19.0,51,1710,2291492,19.8,101,44.4,Ramsdale,8.5,Goalkeeper,19.8
34,590,Tomiyasu,Arsenal,2,3.1,47,1384,775863,14.7,69,55.7,Tomiyasu,0.0,Defender,14.7
41,10,Chambers,Aston Villa,2,0.2,42,171,11990,0.5,2,7.9,Chambers,0.5,Defender,0.5
42,28,Steer,Aston Villa,1,2.5,39,90,325469,0.3,1,0.8,Steer,0.0,Goalkeeper,0.3
44,30,Martínez,Aston Villa,1,12.5,55,1890,590209,14.0,77,51.1,Martínez,3.0,Goalkeeper,14.0
46,32,Traoré,Aston Villa,3,0.3,57,149,13536,1.8,10,8.3,Traoré,0.0,Midfielder,1.8
47,34,Sanson,Aston Villa,3,0.0,50,222,2067,1.6,8,6.2,Sanson,0.7,Midfielder,1.6
48,35,McGinn,Aston Villa,3,1.1,58,1656,302032,11.4,66,92.9,McGinn,1.7,Midfielder,11.4
49,36,Hause,Aston Villa,2,0.2,44,397,39696,4.5,20,17.3,Hause,0.7,Defender,4.5
