element,Mean,Std,player,CV,second_name,position,ict_index,minutes,now_cost,team,total_FDR_so_far,next_four_fixtures_FDR,number_of_games
135,9.0,4.381780460041329,135,0.4868644955601476,Chilwell,Defender,54.0,540,5.6,Chelsea,70,3,1
233,8.85,5.593934685278144,233,0.632083015285666,Salah,Midfielder,276.9,1783,12.7,Liverpool,60,8,3
237,7.333333333333333,4.311407576896164,237,0.5879192150312951,Alexander-Arnold,Defender,175.7,1593,8.4,Liverpool,60,8,3
268,6.5,7.681145747868608,268,1.1817147304413242,Torres,Midfielder,32.3,303,6.7,Man City,66,6,3
359,6.352941176470588,3.4989494221585327,359,0.5507605571916209,Son,Midfielder,160.5,1483,10.7,Spurs,55,10,3
256,6.190476190476191,4.976133515281194,256,0.8038369524685005,Cancelo,Defender,133.6,1877,7.0,Man City,66,6,3
177,5.75,3.947573094109004,177,0.6865344511493919,Calvert-Lewin,Forward,38.8,338,7.9,Everton,57,7,3
142,5.6875,6.906217005954368,142,1.214279913134834,James,Defender,107.6,1115,6.2,Chelsea,70,3,1
144,5.555555555555555,4.925590107641594,144,0.886606219375487,Gallagher,Midfielder,150.1,1569,6.1,Crystal Palace,67,8,3
420,5.476190476190476,4.319942680395744,420,0.7888590981592228,Bowen,Midfielder,169.3,1768,6.7,West Ham,62,9,3
252,5.428571428571429,3.735288603626359,252,0.6880794796153819,Stones,Defender,15.8,501,5.3,Man City,66,6,3
265,5.428571428571429,5.154748157905347,265,0.9495588711930902,Foden,Midfielder,116.5,1005,8.0,Man City,66,6,3
450,5.411764705882353,4.704503474456839,450,0.8693104246278941,Dennis,Forward,128.4,1303,6.1,Watford,59,9,3
240,5.315789473684211,3.727564465184373,240,0.7012249984010206,Jota,Midfielder,156.1,1370,8.3,Liverpool,60,8,3
16,5.285714285714286,4.496640992983565,16,0.8507158635374312,Tierney,Defender,61.9,1196,5.0,Arsenal,59,5,2
367,5.25,4.594957710756037,367,0.8752300401440071,Sánchez,Defender,44.5,929,4.6,Spurs,55,10,3
579,5.125,4.951430769653017,579,0.9661328331030278,dos Santos Aveiro,Forward,139.1,1296,12.5,Man Utd,59,8,3
138,5.052631578947368,5.8354632702937455,138,1.1549354389123039,Mount,Midfielder,153.7,1253,7.7,Chelsea,70,3,1
261,5.0476190476190474,3.8791260675078667,261,0.7685061077138227,Veiga de Carvalho e Silva,Midfielder,157.2,1793,7.5,Man City,66,6,3
210,5.0,4.47213595499958,210,0.894427190999916,Tielemans,Midfielder,100.6,1170,6.4,Leicester,57,12,3
259,5.0,3.678234870791407,259,0.7356469741582814,Laporte,Defender,64.7,1542,5.6,Man City,66,6,3
501,5.0,4.242640687119285,501,0.8485281374238569,Sarr,Defender,3.9,180,4.9,Chelsea,70,3,1
578,5.0,4.69041575982343,578,0.938083151964686,Cornet,Midfielder,52.5,607,5.9,Burnley,54,12,3
196,4.9411764705882355,3.0304823921962925,196,0.6133119127063925,Dias Belloli,Midfielder,141.4,1438,6.5,Leeds,60,8,3
559,4.9411764705882355,3.151796873120437,559,0.6378636528934217,Ramsdale,Goalkeeper,40.1,1530,5.1,Arsenal,59,5,2
205,4.9375,4.186784764788688,205,0.8479564080584684,Vardy,Forward,105.9,1320,10.3,Leicester,57,12,3
234,4.928571428571429,3.5401930784869675,234,0.7183000449103991,Robertson,Defender,90.9,1214,7.0,Liverpool,60,8,3
21,4.888888888888889,3.708319563755004,21,0.7585199107680689,Smith Rowe,Midfielder,107.7,1201,5.9,Arsenal,59,5,2
230,4.85,2.996050031203365,230,0.6177422744749207,Mané,Midfielder,183.8,1710,11.7,Liverpool,60,8,3
254,4.8125,4.150803135137424,254,0.8625045475610231,Mahrez,Midfielder,124.3,839,8.6,Man City,66,6,3
262,4.8,3.396592719956745,262,0.7076234833243219,Gato Alves Dias,Defender,75.3,1681,6.3,Man City,66,6,3
229,4.777777777777778,4.022810775558267,229,0.841983650698242,van Dijk,Defender,70.1,1620,6.6,Liverpool,60,8,3
250,4.733333333333333,3.731462116089285,250,0.7883370667794264,Gündogan,Midfielder,119.3,1060,7.3,Man City,66,6,3
413,4.7,4.449719092257398,413,0.9467487430334889,Antonio,Forward,175.3,1750,7.9,West Ham,62,9,3
251,4.6875,4.497684589504545,251,0.9595060457609697,De Bruyne,Midfielder,123.4,1003,12.0,Man City,66,6,3
156,4.666666666666667,5.507570547286102,156,1.1801936887041646,Butland,Goalkeeper,9.2,270,4.4,Crystal Palace,67,8,3
235,4.666666666666667,3.511884584284246,235,0.7525466966323384,Origi,Forward,16.8,38,4.8,Liverpool,60,8,3
22,4.65,4.107438694804701,22,0.8833201494203657,Saka,Midfielder,148.6,1480,6.4,Arsenal,59,5,2
475,4.631578947368421,3.3201493660474823,475,0.7168504313057064,Malheiro de Sá,Goalkeeper,50.2,1710,5.2,Wolves,59,8,3
23,4.588235294117647,4.48690906317216,23,0.9779160778708554,Magalhães,Defender,59.1,1476,5.3,Arsenal,59,5,2
212,4.555555555555555,5.124591486986717,212,1.1249103264117184,Maddison,Midfielder,96.9,1159,6.9,Leicester,57,12,3
470,4.555555555555555,2.7436796055257213,470,0.6022711329202803,Ait Nouri,Defender,41.1,718,4.3,Wolves,59,8,3
122,4.5,4.066120181860508,122,0.9035822626356684,Alonso,Defender,88.9,1336,5.7,Chelsea,70,3,1
129,4.5,2.1213203435596424,129,0.4714045207910316,Arrizabalaga,Goalkeeper,1.7,180,4.7,Chelsea,70,3,1
353,4.5,3.1295555031120355,353,0.6954567784693412,Lloris,Goalkeeper,41.6,1620,5.4,Spurs,55,10,3
127,4.476190476190476,4.094130525753273,127,0.9146461812853056,Rüdiger,Defender,83.2,1890,6.2,Chelsea,70,3,1
257,4.476190476190476,2.561621510275232,257,0.5722771459125519,Santana de Moraes,Goalkeeper,29.9,1890,6.1,Man City,66,6,3
370,4.470588235294118,3.572772856249462,370,0.7991728757400113,Reguilón,Defender,79.8,1283,5.4,Spurs,55,10,3
419,4.45,3.5463101654358553,419,0.7969236326822147,Benrahma,Midfielder,115.5,1436,5.9,West Ham,62,9,3
255,4.444444444444445,3.822875761121112,255,0.8601470462522502,Sterling,Midfielder,139.5,1181,10.7,Man City,66,6,3
399,4.416666666666667,4.337119558025357,399,0.9819893338925336,Sarr,Midfielder,84.2,1030,5.8,Watford,59,9,3
123,4.388888888888889,4.60356497266155,123,1.0489135380747834,Frello Filho,Midfielder,84.7,1372,5.9,Chelsea,70,3,1
26,4.384615384615385,3.7536307210144675,26,0.8560912170734749,Martinelli Silva,Midfielder,76.3,777,5.4,Arsenal,59,5,2
249,4.384615384615385,2.7245324228345904,249,0.6213845876640294,Walker,Defender,34.9,1125,5.4,Man City,66,6,3
231,4.333333333333333,3.1248529377161,231,0.7211199087037155,Ramses Becker,Goalkeeper,34.3,1620,6.0,Liverpool,60,8,3
590,4.3125,3.3008837200563934,590,0.7654223118971347,Tomiyasu,Defender,55.7,1384,4.7,Arsenal,59,5,2
125,4.285714285714286,4.21405288982492,125,0.9832790076258148,Kovacic,Midfielder,66.0,1024,5.0,Chelsea,70,3,1
121,4.277777777777778,3.8624216048477638,121,0.9029037517825942,Emiliano da Silva,Defender,71.1,1462,5.6,Chelsea,70,3,1
341,4.277777777777778,3.3747427885527643,341,0.7889009116097372,Ward-Prowse,Midfielder,120.7,1595,6.3,Southampton,67,11,3
432,4.2727272727272725,3.635681754249376,432,0.8509042403562369,Marçal,Defender,26.3,954,4.2,Wolves,59,8,3
431,4.2631578947368425,3.709478928114925,431,0.8701246868417725,Saïss,Defender,67.2,1658,5.1,Wolves,59,8,3
173,4.214285714285714,3.166618468883254,173,0.7514009926163654,Doucouré,Midfielder,73.1,1260,5.4,Everton,57,7,3
343,4.2,3.8766701469910267,343,0.9230167016645301,Bednarek,Defender,56.8,1254,4.4,Southampton,67,11,3
189,4.166666666666667,2.228601953392904,189,0.534864468814297,Bamford,Forward,44.1,458,7.7,Leeds,60,8,3
143,4.15,2.6011131220468307,143,0.6267742462763447,Mendy,Goalkeeper,40.6,1800,6.1,Chelsea,70,3,1
411,4.142857142857143,3.393594483211498,411,0.8191434959476029,Cresswell,Defender,65.3,1230,5.3,West Ham,62,9,3
364,4.111111111111111,4.85912657903775,364,1.181949708414588,Davies,Defender,31.6,750,4.5,Spurs,55,10,3
527,4.071428571428571,4.287087692026007,527,1.0529689068134052,Chalobah,Defender,35.8,907,4.7,Chelsea,70,3,1
63,4.055555555555555,2.9599726195518654,63,0.7298562623552545,Maupay,Forward,93.0,1374,6.5,Brighton,61,5,2
429,4.052631578947368,2.6556791182195503,429,0.6552974447554735,Coady,Defender,45.1,1706,4.6,Wolves,59,8,3
242,4.0,2.8284271247461903,242,0.7071067811865476,Kelleher,Goalkeeper,4.6,180,4.3,Liverpool,60,8,3
258,4.0,2.449489742783178,258,0.6123724356957945,Aké,Defender,19.5,579,4.7,Man City,66,6,3
264,4.0,3.8297084310253524,264,0.9574271077563381,Zinchenko,Defender,22.9,506,5.3,Man City,66,6,3
270,4.0,2.7688746209726918,270,0.6922186552431729,de Gea,Goalkeeper,52.5,1710,5.2,Man Utd,59,8,3
277,4.0,4.7403152042131245,277,1.1850788010532811,Borges Fernandes,Midfielder,145.2,1499,11.6,Man Utd,59,8,3
333,4.0,3.605551275463989,333,0.9013878188659973,Forster,Goalkeeper,11.4,270,4.4,Southampton,67,11,3
455,4.0,3.366501646120693,455,0.8416254115301732,Daka,Forward,36.8,286,7.1,Leicester,57,12,3
484,4.0,2.9154759474226504,484,0.7288689868556626,Gray,Midfielder,115.3,1328,5.5,Everton,57,7,3
558,4.0,3.2358288328176625,558,0.8089572082044156,Ødegaard,Midfielder,104.3,1215,5.6,Arsenal,59,5,2
584,4.0,3.2210246816812815,584,0.8052561704203204,Cucurella,Defender,72.5,1469,5.1,Brighton,61,5,2
40,3.9375,3.3954626587059775,40,0.8623397228459625,Watkins,Forward,118.5,1361,7.7,Aston Villa,64,7,3
468,3.9375,4.122600312100766,468,1.0470096030732103,King,Forward,110.2,1266,5.8,Watford,59,9,3
119,3.933333333333333,2.5764501233470907,119,0.655029692376379,Azpilicueta,Defender,51.2,1209,5.7,Chelsea,70,3,1
296,3.933333333333333,3.348062694981056,296,0.8512023800799295,Wilson,Forward,72.1,1184,7.3,Newcastle,61,8,3
529,3.9285714285714284,4.0089186286863665,529,1.0204520145747116,Lukaku,Forward,79.9,918,11.5,Chelsea,70,3,1
307,3.8947368421052633,2.9794618612185895,307,0.7649969643669351,Saint-Maximin,Forward,129.1,1621,6.6,Newcastle,61,8,3
263,3.888888888888889,3.3587268051501282,263,0.8636726070386044,de Jesus,Forward,137.0,1290,8.6,Man City,66,6,3
272,3.888888888888889,5.418589402336286,272,1.3933515606007592,Pogba,Midfielder,59.2,631,7.4,Man Utd,59,8,3
437,3.8823529411764706,2.7359265556017873,437,0.7047083552307634,Cabral Semedo,Defender,57.9,1479,4.8,Wolves,59,8,3
361,3.8333333333333335,2.8336216692963587,361,0.7392056528599197,Dier,Defender,52.9,1541,4.6,Spurs,55,10,3
586,3.8333333333333335,3.9444674582777033,586,1.028991510855053,Edouard,Forward,95.7,1089,6.4,Crystal Palace,67,8,3
64,3.789473684210526,3.0107021581983355,64,0.7944908473023385,Trossard,Midfielder,133.3,1621,6.1,Brighton,61,5,2
439,3.789473684210526,2.462585528541114,439,0.6498489589205717,Kilman,Defender,58.7,1710,4.5,Wolves,59,8,3
337,3.7857142857142856,2.6654072117400007,337,0.7040698295162267,Ings,Forward,66.6,1032,7.7,Aston Villa,64,7,3
345,3.7857142857142856,2.887068553942707,345,0.7626218821735453,Adams,Forward,68.7,891,6.8,Southampton,67,11,3
30,3.7777777777777777,3.020626260651249,30,0.7995775395841542,Martínez,Goalkeeper,45.2,1620,5.5,Aston Villa,64,7,3
67,3.7777777777777777,2.734433064276128,67,0.7238205170142692,White,Defender,48.1,1620,4.5,Arsenal,59,5,2
