element,Mean,Std,player,CV,second_name,position,ict_index,minutes,now_cost,team,total_FDR_so_far,next_four_fixtures_FDR,number_of_games
135,9.0,4.381780460041329,135,0.4868644955601476,Chilwell,Defender,54.0,540,5.6,Chelsea,70,3,1
233,8.85,5.593934685278144,233,0.632083015285666,Salah,Midfielder,276.9,1783,12.7,Liverpool,60,8,3
237,7.473684210526316,4.234362355940209,237,0.5665696110060843,Alexander-Arnold,Defender,186.0,1683,8.4,Liverpool,60,8,3
268,6.5,7.681145747868608,268,1.1817147304413242,Torres,Midfielder,32.3,303,6.7,Man City,66,6,3
359,6.352941176470588,3.4989494221585327,359,0.5507605571916209,Son,Midfielder,160.5,1483,10.7,Spurs,55,10,3
256,6.285714285714286,5.051166767617727,256,0.803594713030093,Cancelo,Defender,138.9,1877,7.0,Man City,66,6,3
142,5.6875,6.906217005954368,142,1.214279913134834,James,Defender,107.6,1115,6.2,Chelsea,70,3,1
252,5.571428571428571,3.779644730092272,252,0.6783977720678438,Stones,Defender,19.2,501,5.2,Man City,66,6,3
144,5.555555555555555,4.925590107641594,144,0.886606219375487,Gallagher,Midfielder,150.1,1569,6.1,Crystal Palace,67,8,3
420,5.545454545454546,4.228331571528879,420,0.7624860210953716,Bowen,Midfielder,177.8,1858,6.8,West Ham,62,9,3
265,5.428571428571429,5.154748157905347,265,0.9495588711930902,Foden,Midfielder,119.1,1005,8.0,Man City,66,6,3
234,5.4,3.869293032509759,234,0.7165357467610665,Robertson,Defender,101.0,1304,7.0,Liverpool,60,8,3
16,5.285714285714286,4.496640992983565,16,0.8507158635374312,Tierney,Defender,61.9,1196,5.0,Arsenal,59,5,2
367,5.25,4.594957710756037,367,0.8752300401440071,Sánchez,Defender,44.5,929,4.6,Spurs,55,10,3
450,5.222222222222222,4.634341828459197,450,0.8874271586411229,Dennis,Forward,133.6,1386,6.1,Watford,59,9,3
240,5.2,3.6649118607912547,240,0.7047907424598566,Jota,Midfielder,166.7,1451,8.4,Liverpool,60,8,3
470,5.2,3.2930904093942583,470,0.6332866171912035,Ait Nouri,Defender,47.7,808,4.3,Wolves,59,8,3
579,5.125,4.951430769653017,579,0.9661328331030278,dos Santos Aveiro,Forward,139.1,1296,12.5,Man Utd,59,8,3
259,5.055555555555555,3.701704253325077,259,0.7322052369214438,Laporte,Defender,66.3,1542,5.6,Man City,66,6,3
138,5.052631578947368,5.8354632702937455,138,1.1549354389123039,Mount,Midfielder,154.1,1253,7.7,Chelsea,70,3,1
261,5.0476190476190474,3.8791260675078667,261,0.7685061077138227,Veiga de Carvalho e Silva,Midfielder,159.7,1793,7.5,Man City,66,6,3
177,5.0,3.8078865529319543,177,0.7615773105863909,Calvert-Lewin,Forward,42.4,428,7.9,Everton,57,7,3
196,5.0,2.95057322446693,196,0.5901146448933859,Dias Belloli,Midfielder,155.6,1528,6.5,Leeds,60,8,3
210,5.0,4.47213595499958,210,0.894427190999916,Tielemans,Midfielder,100.6,1170,6.4,Leicester,57,12,3
501,5.0,4.242640687119285,501,0.8485281374238569,Sarr,Defender,6.6,180,4.9,Chelsea,70,3,1
578,5.0,4.69041575982343,578,0.938083151964686,Cornet,Midfielder,52.5,607,5.9,Burnley,54,12,3
559,4.9411764705882355,3.151796873120437,559,0.6378636528934217,Ramsdale,Goalkeeper,40.1,1530,5.1,Arsenal,59,5,2
205,4.9375,4.186784764788688,205,0.8479564080584684,Vardy,Forward,105.9,1320,10.3,Leicester,57,12,3
21,4.888888888888889,3.708319563755004,21,0.7585199107680689,Smith Rowe,Midfielder,107.7,1201,5.9,Arsenal,59,5,2
251,4.875,4.7028360237910345,251,0.9646843125725199,De Bruyne,Midfielder,135.0,1002,12.1,Man City,66,6,3
230,4.85,2.996050031203365,230,0.6177422744749207,Mané,Midfielder,183.8,1710,11.7,Liverpool,60,8,3
229,4.842105263157895,3.9195118445305406,229,0.8094644026747856,van Dijk,Defender,74.9,1710,6.6,Liverpool,60,8,3
254,4.8125,4.150803135137424,254,0.8625045475610231,Mahrez,Midfielder,124.3,839,8.6,Man City,66,6,3
262,4.8,3.396592719956745,262,0.7076234833243219,Gato Alves Dias,Defender,75.3,1681,6.3,Man City,66,6,3
475,4.75,3.274703682858392,475,0.6894113016543983,Malheiro de Sá,Goalkeeper,57.0,1800,5.2,Wolves,59,8,3
250,4.733333333333333,3.731462116089285,250,0.7883370667794264,Gündogan,Midfielder,119.5,1061,7.3,Man City,66,6,3
156,4.666666666666667,5.507570547286102,156,1.1801936887041646,Butland,Goalkeeper,9.2,270,4.4,Crystal Palace,67,8,3
235,4.666666666666667,3.511884584284246,235,0.7525466966323384,Origi,Forward,16.8,38,4.8,Liverpool,60,8,3
413,4.666666666666667,4.339738855430513,413,0.9299440404493955,Antonio,Forward,183.4,1840,7.9,West Ham,62,9,3
22,4.65,4.107438694804701,22,0.8833201494203657,Saka,Midfielder,148.6,1480,6.4,Arsenal,59,5,2
23,4.588235294117647,4.48690906317216,23,0.9779160778708554,Magalhães,Defender,59.1,1476,5.3,Arsenal,59,5,2
212,4.555555555555555,5.124591486986717,212,1.1249103264117184,Maddison,Midfielder,96.9,1159,6.9,Leicester,57,12,3
277,4.526315789473684,5.146394866016313,277,1.1369942145849994,Borges Fernandes,Midfielder,157.7,1587,11.7,Man Utd,59,8,3
122,4.5,4.066120181860508,122,0.9035822626356684,Alonso,Defender,90.5,1336,5.7,Chelsea,70,3,1
129,4.5,2.1213203435596424,129,0.4714045207910316,Arrizabalaga,Goalkeeper,5.8,180,4.7,Chelsea,70,3,1
353,4.5,3.1295555031120355,353,0.6954567784693412,Lloris,Goalkeeper,41.6,1620,5.4,Spurs,55,10,3
127,4.476190476190476,4.094130525753273,127,0.9146461812853056,Rüdiger,Defender,85.3,1890,6.2,Chelsea,70,3,1
257,4.476190476190476,2.561621510275232,257,0.5722771459125519,Santana de Moraes,Goalkeeper,31.0,1890,6.1,Man City,66,6,3
370,4.470588235294118,3.572772856249462,370,0.7991728757400113,Reguilón,Defender,79.8,1283,5.4,Spurs,55,10,3
419,4.45,3.5463101654358553,419,0.7969236326822147,Benrahma,Midfielder,115.5,1436,5.9,West Ham,62,9,3
255,4.444444444444445,3.822875761121112,255,0.8601470462522502,Sterling,Midfielder,144.3,1181,10.7,Man City,66,6,3
231,4.421052631578948,3.0607876523260447,231,0.6923210165975576,Ramses Becker,Goalkeeper,35.7,1710,6.0,Liverpool,60,8,3
399,4.416666666666667,4.337119558025357,399,0.9819893338925336,Sarr,Midfielder,84.2,1030,5.8,Watford,59,9,3
123,4.388888888888889,4.60356497266155,123,1.0489135380747834,Frello Filho,Midfielder,84.7,1372,5.9,Chelsea,70,3,1
26,4.384615384615385,3.7536307210144675,26,0.8560912170734749,Martinelli Silva,Midfielder,76.3,777,5.4,Arsenal,59,5,2
249,4.384615384615385,2.7245324228345904,249,0.6213845876640294,Walker,Defender,36.4,1125,5.4,Man City,66,6,3
341,4.368421052631579,3.3033741389304336,341,0.7561940799961234,Ward-Prowse,Midfielder,129.3,1685,6.3,Southampton,67,11,3
590,4.3125,3.3008837200563934,590,0.7654223118971347,Tomiyasu,Defender,55.7,1384,4.7,Arsenal,59,5,2
429,4.3,2.811629982393618,429,0.6538674377659577,Coady,Defender,52.6,1796,4.6,Wolves,59,8,3
125,4.285714285714286,4.21405288982492,125,0.9832790076258148,Kovacic,Midfielder,68.8,1024,5.0,Chelsea,70,3,1
121,4.277777777777778,3.8624216048477638,121,0.9029037517825942,Emiliano da Silva,Defender,72.1,1462,5.6,Chelsea,70,3,1
432,4.2727272727272725,3.635681754249376,432,0.8509042403562369,Marçal,Defender,26.3,954,4.2,Wolves,59,8,3
411,4.266666666666667,3.305118685283408,411,0.7746371918632987,Cresswell,Defender,76.3,1320,5.3,West Ham,62,9,3
431,4.2631578947368425,3.709478928114925,431,0.8701246868417725,Saïss,Defender,67.2,1658,5.0,Wolves,59,8,3
189,4.166666666666667,2.228601953392904,189,0.534864468814297,Bamford,Forward,44.1,458,7.7,Leeds,60,8,3
143,4.15,2.6011131220468307,143,0.6267742462763447,Mendy,Goalkeeper,40.6,1800,6.1,Chelsea,70,3,1
307,4.15,3.1165939573093002,307,0.7509864957371807,Saint-Maximin,Forward,137.6,1706,6.6,Newcastle,61,8,3
364,4.111111111111111,4.85912657903775,364,1.181949708414588,Davies,Defender,31.6,750,4.5,Spurs,55,10,3
527,4.071428571428571,4.287087692026007,527,1.0529689068134052,Chalobah,Defender,35.8,907,4.7,Chelsea,70,3,1
173,4.066666666666666,3.1045281828476345,173,0.7634085695526971,Doucouré,Midfielder,76.0,1350,5.4,Everton,57,7,3
63,4.055555555555555,2.9599726195518654,63,0.7298562623552545,Maupay,Forward,93.0,1374,6.5,Brighton,61,5,2
242,4.0,2.8284271247461903,242,0.7071067811865476,Kelleher,Goalkeeper,4.6,180,4.3,Liverpool,60,8,3
258,4.0,2.449489742783178,258,0.6123724356957945,Aké,Defender,19.5,579,4.7,Man City,66,6,3
264,4.0,3.8297084310253524,264,0.9574271077563381,Zinchenko,Defender,22.9,506,5.3,Man City,66,6,3
270,4.0,2.6950246556825492,270,0.6737561639206373,de Gea,Goalkeeper,57.6,1800,5.2,Man Utd,59,8,3
343,4.0,3.8297084310253524,343,0.9574271077563381,Bednarek,Defender,61.1,1344,4.4,Southampton,67,11,3
455,4.0,3.366501646120693,455,0.8416254115301732,Daka,Forward,36.8,286,7.1,Leicester,57,12,3
558,4.0,3.2358288328176625,558,0.8089572082044156,Ødegaard,Midfielder,104.3,1215,5.6,Arsenal,59,5,2
584,4.0,3.2210246816812815,584,0.8052561704203204,Cucurella,Defender,72.5,1469,5.1,Brighton,61,5,2
119,3.933333333333333,2.5764501233470907,119,0.655029692376379,Azpilicueta,Defender,56.4,1209,5.7,Chelsea,70,3,1
296,3.933333333333333,3.348062694981056,296,0.8512023800799295,Wilson,Forward,72.1,1184,7.3,Newcastle,61,8,3
529,3.9285714285714284,4.0089186286863665,529,1.0204520145747116,Lukaku,Forward,81.3,918,11.5,Chelsea,70,3,1
263,3.888888888888889,3.3587268051501282,263,0.8636726070386044,de Jesus,Forward,137.0,1290,8.6,Man City,66,6,3
272,3.888888888888889,5.418589402336286,272,1.3933515606007592,Pogba,Midfielder,59.2,631,7.4,Man Utd,59,8,3
484,3.888888888888889,2.8674417556808756,484,0.7373421657465109,Gray,Midfielder,123.4,1418,5.5,Everton,57,7,3
439,3.85,2.4121403467940206,439,0.6265299602062391,Kilman,Defender,62.0,1800,4.5,Wolves,59,8,3
180,3.8333333333333335,3.459724984691264,180,0.9025369525281558,de Andrade,Forward,71.9,921,7.4,Everton,57,7,3
228,3.8333333333333335,5.4578272955342575,228,1.4237810336176324,Firmino,Forward,64.4,510,8.7,Liverpool,60,8,3
361,3.8333333333333335,2.8336216692963587,361,0.7392056528599197,Dier,Defender,52.9,1541,4.6,Spurs,55,10,3
586,3.8333333333333335,3.9444674582777033,586,1.028991510855053,Edouard,Forward,95.8,1089,6.4,Crystal Palace,67,8,3
40,3.823529411764706,3.3210558207753573,40,0.8685838300489396,Watkins,Forward,122.7,1451,7.7,Aston Villa,64,7,3
468,3.823529411764706,4.019255125605476,468,1.051189802081432,King,Forward,117.9,1356,5.8,Watford,59,9,3
224,3.8125,2.428133714055577,224,0.6368875315555612,Matip,Defender,63.0,1440,4.9,Liverpool,60,8,3
423,3.8,3.0881777968995174,423,0.8126783676051362,Fornals,Midfielder,111.8,1512,6.0,West Ham,62,9,3
64,3.789473684210526,3.0107021581983355,64,0.7944908473023385,Trossard,Midfielder,133.3,1621,6.1,Brighton,61,5,2
67,3.7777777777777777,2.734433064276128,67,0.7238205170142692,White,Defender,48.1,1620,4.5,Arsenal,59,5,2
