,id_full_season,player_name,games_full_season,time_full_season,goals_full_season,xG_full_season,assists_full_season,xA_full_season,shots_full_season,key_passes_full_season,yellow_cards_full_season,red_cards_full_season,position,team_title,npg_full_season,npxG_full_season,xGChain_full_season,xGBuildup_full_season,fpl_id
0,1250.0,Mohamed Salah,20.0,1786.0,16.0,15.608175069093704,9.0,6.22314802929759,80.0,40.0,1.0,0.0,F,Liverpool,14.0,13.324668571352959,22.21259716153145,7.717494197189808,233.0
1,6854.0,Diogo Jota,19.0,1404.0,10.0,11.724202327430248,1.0,3.721017401665449,52.0,23.0,1.0,0.0,F S,Liverpool,10.0,11.724202327430248,18.25832437723875,5.428494884632528,240.0
2,755.0,Jamie Vardy,16.0,1325.0,9.0,6.063936270773411,1.0,1.183594960719347,36.0,14.0,2.0,0.0,F S,Leicester,9.0,6.063936270773411,7.677956260740757,1.25945988856256,205.0
3,453.0,Son Heung-Min,17.0,1499.0,8.0,6.958429858088493,3.0,3.3822450675070286,44.0,33.0,0.0,0.0,F M,Tottenham,8.0,6.958429858088493,11.58835968375206,3.5982557721436024,359.0
4,531.0,Michail Antonio,20.0,1752.0,8.0,9.405052870512009,5.0,4.5195402801036835,55.0,34.0,3.0,1.0,F S,West Ham,8.0,8.643883973360062,15.658935450017452,5.747515574097633,413.0
5,838.0,Sadio Mané,20.0,1713.0,8.0,10.503094624727964,1.0,3.385883605107665,61.0,20.0,2.0,0.0,F S,Liverpool,8.0,10.503094624727964,18.285370528697968,7.227718977257609,230.0
6,2371.0,Cristiano Ronaldo,16.0,1300.0,8.0,9.91887341439724,3.0,1.6593726500868797,57.0,12.0,4.0,0.0,F S,Manchester United,6.0,8.39653579890728,11.537003859877586,2.896052235737443,
7,7230.0,Emile Smith-Rowe,18.0,1208.0,8.0,3.4808948393911123,2.0,2.218204578384757,25.0,20.0,0.0,0.0,M S,Arsenal,8.0,3.4808948393911123,6.609001308679581,2.395720422267914,21.0
8,8026.0,Raphinha,17.0,1452.0,8.0,5.318158358335495,1.0,2.798976767808199,52.0,29.0,4.0,0.0,F M,Leeds,5.0,3.0346518140286207,7.079360619187355,3.4009968945756555,196.0
9,9301.0,Emmanuel Dennis,17.0,1321.0,8.0,3.5067103281617165,5.0,2.5466610807925463,34.0,18.0,6.0,0.0,F M S,Watford,8.0,3.5067103281617165,6.670530612580478,1.5140158711001277,450.0
